"count","level_text","province_code"
14,"Software and its engineering+Software organization and properties",23
4,"Theory of computation",23
3,"Theory of computation+Design and analysis of algorithms",23
3,"Theory of computation+Semantics and reasoning",23
5,"Theory of computation+Theory and algorithms for application domains",23
37,"Applied computing",31
2,"Applied computing+Computers in other domains",31
3,"Applied computing+Document management and text processing",31
5,"Applied computing+Education",31
4,"Applied computing+Electronic commerce",31
12,"Applied computing+Enterprise computing",31
14,"Applied computing+Law, social and behavioral sciences",31
45,"Applied computing+Life and medical sciences",31
4,"Applied computing+Operations research",31
4,"Applied computing+Physical sciences and engineering",31
34,"Computer systems organization",31
27,"Computer systems organization+Architectures",31
17,"Computer systems organization+Dependable and fault-tolerant systems and networks",31
35,"Computer systems organization+Embedded and cyber-physical systems",31
5,"Computer systems organization+Real-time systems",31
124,"Computing methodologies",31
144,"Computing methodologies+Artificial intelligence",31
27,"Computing methodologies+Computer graphics",31
2,"Computing methodologies+Concurrent computing methodologies",31
194,"Computing methodologies+Machine learning",31
33,"Computing methodologies+Modeling and simulation",31
17,"Computing methodologies+Parallel computing methodologies",31
4,"Computing methodologies+Symbolic and algebraic manipulation",31
27,"General and reference",31
53,"General and reference+Cross-computing tools and techniques",31
4,"General and reference+Document types",31
21,"Hardware",31
9,"Hardware+Communication hardware, interfaces and storage",31
4,"Hardware+Electronic design automation",31
6,"Hardware+Emerging technologies",31
4,"Hardware+Hardware validation",31
6,"Hardware+Integrated circuits",31
12,"Hardware+Power and energy",31
6,"Hardware+Robustness",31
39,"Human-centered computing",31
2,"Human-centered computing+Accessibility",31
44,"Human-centered computing+Collaborative and social computing",31
18,"Human-centered computing+Human computer interaction (HCI)",31
5,"Human-centered computing+Interaction design",31
16,"Human-centered computing+Ubiquitous and mobile computing",31
16,"Human-centered computing+Visualization",31
91,"Information systems",31
66,"Information systems+Data management systems",31
94,"Information systems+Information retrieval",31
4,"Information systems+Information storage systems",31
75,"Information systems+Information systems applications",31
64,"Information systems+World Wide Web",31
21,"Mathematics of computing",31
23,"Mathematics of computing+Discrete mathematics",31
15,"Mathematics of computing+Mathematical analysis",31
2,"Mathematics of computing+Mathematical software",31
22,"Mathematics of computing+Probability and statistics",31
50,"Networks",31
14,"Networks+Network algorithms",31
5,"Networks+Network components",31
21,"Networks+Network performance evaluation",31
16,"Networks+Network properties",31
8,"Networks+Network protocols",31
15,"Networks+Network services",31
47,"Networks+Network types",31
22,"Security and privacy",31
5,"Security and privacy+Formal methods and theory of security",31
6,"Security and privacy+Human and societal aspects of security and privacy",31
6,"Security and privacy+Intrusion/anomaly detection and malware mitigation",31
8,"Security and privacy+Network security",31
10,"Security and privacy+Security in hardware",31
6,"Security and privacy+Security services",31
7,"Security and privacy+Software and application security",31
19,"Security and privacy+Systems security",31
19,"Social and professional topics",31
9,"Social and professional topics+Computing / technology policy",31
36,"Social and professional topics+Professional topics",31
8,"Social and professional topics+User characteristics",31
34,"Software and its engineering",31
44,"Software and its engineering+Software creation and management",31
15,"Software and its engineering+Software notations and tools",31
89,"Software and its engineering+Software organization and properties",31
50,"Theory of computation",31
88,"Theory of computation+Design and analysis of algorithms",31
1,"Theory of computation+Formal languages and automata theory",31
2,"Theory of computation+Logic",31
8,"Theory of computation+Models of computation",31
3,"Theory of computation+Randomness, geometry and discrete structures",31
6,"Theory of computation+Semantics and reasoning",31
48,"Theory of computation+Theory and algorithms for application domains",31
30,"Applied computing",32
3,"Applied computing+Arts and humanities",32
4,"Applied computing+Computers in other domains",32
4,"Applied computing+Education",32
4,"Applied computing+Electronic commerce",32
12,"Applied computing+Enterprise computing",32
4,"Applied computing+Law, social and behavioral sciences",32
28,"Applied computing+Life and medical sciences",32
7,"Applied computing+Operations research",32
10,"Applied computing+Physical sciences and engineering",32
18,"Computer systems organization",32
6,"Computer systems organization+Architectures",32
8,"Computer systems organization+Dependable and fault-tolerant systems and networks",32
29,"Computer systems organization+Embedded and cyber-physical systems",32
108,"Computing methodologies",32
84,"Computing methodologies+Artificial intelligence",32
35,"Computing methodologies+Computer graphics",32
175,"Computing methodologies+Machine learning",32
17,"Computing methodologies+Modeling and simulation",32
2,"Computing methodologies+Parallel computing methodologies",32
9,"General and reference",32
16,"General and reference+Cross-computing tools and techniques",32
2,"General and reference+Document types",32
19,"Hardware",32
16,"Hardware+Communication hardware, interfaces and storage",32
14,"Hardware+Integrated circuits",32
21,"Hardware+Power and energy",32
2,"Hardware+Printed circuit boards",32
25,"Human-centered computing",32
2,"Human-centered computing+Accessibility",32
13,"Human-centered computing+Collaborative and social computing",32
15,"Human-centered computing+Human computer interaction (HCI)",32
13,"Human-centered computing+Ubiquitous and mobile computing",32
6,"Human-centered computing+Visualization",32
61,"Information systems",32
54,"Information systems+Data management systems",32
58,"Information systems+Information retrieval",32
12,"Information systems+Information storage systems",32
83,"Information systems+Information systems applications",32
48,"Information systems+World Wide Web",32
13,"Mathematics of computing",32
17,"Mathematics of computing+Discrete mathematics",32
2,"Mathematics of computing+Information theory",32
12,"Mathematics of computing+Mathematical analysis",32
10,"Mathematics of computing+Probability and statistics",32
33,"Networks",32
9,"Networks+Network algorithms",32
14,"Networks+Network performance evaluation",32
5,"Networks+Network properties",32
5,"Networks+Network protocols",32
12,"Networks+Network services",32
38,"Networks+Network types",32
13,"Security and privacy",32
10,"Security and privacy+Cryptography",32
4,"Security and privacy+Database and storage security",32
5,"Security and privacy+Human and societal aspects of security and privacy",32
4,"Security and privacy+Intrusion/anomaly detection and malware mitigation",32
4,"Security and privacy+Security services",32
3,"Security and privacy+Software and application security",32
2,"Security and privacy+Systems security",32
6,"Social and professional topics",32
18,"Social and professional topics+Professional topics",32
17,"Software and its engineering",32
56,"Software and its engineering+Software creation and management",32
3,"Software and its engineering+Software notations and tools",32
15,"Software and its engineering+Software organization and properties",32
33,"Theory of computation",32
1,"Theory of computation+Computational complexity and cryptography",32
43,"Theory of computation+Design and analysis of algorithms",32
3,"Theory of computation+Formal languages and automata theory",32
6,"Theory of computation+Logic",32
6,"Theory of computation+Models of computation",32
3,"Theory of computation+Randomness, geometry and discrete structures",32
8,"Theory of computation+Semantics and reasoning",32
20,"Theory of computation+Theory and algorithms for application domains",32
26,"Applied computing",33
4,"Applied computing+Arts and humanities",33
2,"Applied computing+Document management and text processing",33
7,"Applied computing+Education",33
9,"Applied computing+Electronic commerce",33
3,"Applied computing+Enterprise computing",33
7,"Applied computing+Law, social and behavioral sciences",33
16,"Applied computing+Life and medical sciences",33
4,"Applied computing+Operations research",33
1,"Applied computing+Physical sciences and engineering",33
8,"Computer systems organization",33
13,"Computer systems organization+Architectures",33
3,"Computer systems organization+Dependable and fault-tolerant systems and networks",33
3,"Computer systems organization+Embedded and cyber-physical systems",33
78,"Computing methodologies",33
119,"Computing methodologies+Artificial intelligence",33
40,"Computing methodologies+Computer graphics",33
155,"Computing methodologies+Machine learning",33
12,"Computing methodologies+Modeling and simulation",33
3,"Computing methodologies+Symbolic and algebraic manipulation",33
4,"General and reference",33
8,"General and reference+Cross-computing tools and techniques",33
4,"Hardware",33
1,"Hardware+Communication hardware, interfaces and storage",33
3,"Hardware+Emerging technologies",33
5,"Hardware+Integrated circuits",33
3,"Hardware+Power and energy",33
28,"Human-centered computing",33
6,"Human-centered computing+Accessibility",33
7,"Human-centered computing+Collaborative and social computing",33
23,"Human-centered computing+Human computer interaction (HCI)",33
14,"Human-centered computing+Ubiquitous and mobile computing",33
6,"Human-centered computing+Visualization",33
51,"Information systems",33
31,"Information systems+Data management systems",33
71,"Information systems+Information retrieval",33
47,"Information systems+Information systems applications",33
35,"Information systems+World Wide Web",33
14,"Mathematics of computing",33
3,"Mathematics of computing+Continuous mathematics",33
33,"Mathematics of computing+Discrete mathematics",33
2,"Mathematics of computing+Information theory",33
24,"Mathematics of computing+Mathematical analysis",33
12,"Mathematics of computing+Probability and statistics",33
19,"Networks",33
6,"Networks+Network algorithms",33
4,"Networks+Network architectures",33
7,"Networks+Network performance evaluation",33
2,"Networks+Network properties",33
2,"Networks+Network protocols",33
2,"Networks+Network services",33
24,"Networks+Network types",33
15,"Security and privacy",33
5,"Security and privacy+Cryptography",33
2,"Security and privacy+Database and storage security",33
1,"Security and privacy+Human and societal aspects of security and privacy",33
4,"Security and privacy+Intrusion/anomaly detection and malware mitigation",33
4,"Security and privacy+Network security",33
2,"Security and privacy+Security in hardware",33
2,"Security and privacy+Software and application security",33
9,"Security and privacy+Systems security",33
10,"Social and professional topics",33
26,"Social and professional topics+Professional topics",33
5,"Social and professional topics+User characteristics",33
12,"Software and its engineering",33
22,"Software and its engineering+Software creation and management",33
4,"Software and its engineering+Software notations and tools",33
10,"Software and its engineering+Software organization and properties",33
31,"Theory of computation",33
4,"Theory of computation+Computational complexity and cryptography",33
29,"Theory of computation+Design and analysis of algorithms",33
4,"Theory of computation+Logic",33
3,"Theory of computation+Models of computation",33
6,"Theory of computation+Randomness, geometry and discrete structures",33
3,"Theory of computation+Semantics and reasoning",33
36,"Theory of computation+Theory and algorithms for application domains",33
16,"Applied computing",34
2,"Applied computing+Arts and humanities",34
7,"Applied computing+Education",34
2,"Applied computing+Enterprise computing",34
1,"Applied computing+Law, social and behavioral sciences",34
20,"Applied computing+Life and medical sciences",34
8,"Applied computing+Operations research",34
17,"Computer systems organization",34
13,"Computer systems organization+Architectures",34
12,"Computer systems organization+Dependable and fault-tolerant systems and networks",34
19,"Computer systems organization+Embedded and cyber-physical systems",34
56,"Computing methodologies",34
99,"Computing methodologies+Artificial intelligence",34
26,"Computing methodologies+Computer graphics",34
79,"Computing methodologies+Machine learning",34
9,"Computing methodologies+Modeling and simulation",34
3,"Computing methodologies+Parallel computing methodologies",34
12,"General and reference",34
21,"General and reference+Cross-computing tools and techniques",34
4,"General and reference+Document types",34
16,"Hardware",34
8,"Hardware+Communication hardware, interfaces and storage",34
5,"Hardware+Electronic design automation",34
8,"Hardware+Emerging technologies",34
1,"Hardware+Integrated circuits",34
15,"Hardware+Power and energy",34
3,"Hardware+Robustness",34
3,"Hardware+Very large scale integration design",34
10,"Human-centered computing",34
9,"Human-centered computing+Collaborative and social computing",34
8,"Human-centered computing+Human computer interaction (HCI)",34
10,"Human-centered computing+Ubiquitous and mobile computing",34
3,"Human-centered computing+Visualization",34
36,"Information systems",34
18,"Information systems+Data management systems",34
42,"Information systems+Information retrieval",34
48,"Information systems+Information systems applications",34
24,"Information systems+World Wide Web",34
5,"Mathematics of computing",34
9,"Mathematics of computing+Discrete mathematics",34
2,"Mathematics of computing+Information theory",34
3,"Mathematics of computing+Probability and statistics",34
26,"Networks",34
9,"Networks+Network algorithms",34
2,"Networks+Network components",34
14,"Networks+Network performance evaluation",34
4,"Networks+Network properties",34
5,"Networks+Network protocols",34
6,"Networks+Network services",34
26,"Networks+Network types",34
1,"Security and privacy",34
1,"Security and privacy+Database and storage security",34
4,"Social and professional topics",34
13,"Social and professional topics+Professional topics",34
3,"Software and its engineering",34
8,"Software and its engineering+Software creation and management",34
2,"Software and its engineering+Software notations and tools",34
9,"Software and its engineering+Software organization and properties",34
14,"Theory of computation",34
10,"Theory of computation+Design and analysis of algorithms",34
1,"Theory of computation+Formal languages and automata theory",34
1,"Theory of computation+Logic",34
2,"Theory of computation+Models of computation",34
2,"Theory of computation+Randomness, geometry and discrete structures",34
3,"Theory of computation+Semantics and reasoning",34
15,"Theory of computation+Theory and algorithms for application domains",34
8,"Applied computing",35
2,"Applied computing+Arts and humanities",35
2,"Applied computing+Law, social and behavioral sciences",35
22,"Applied computing+Life and medical sciences",35
7,"Computer systems organization",35
2,"Computer systems organization+Architectures",35
4,"Computer systems organization+Dependable and fault-tolerant systems and networks",35
8,"Computer systems organization+Embedded and cyber-physical systems",35
17,"Computing methodologies",35
27,"Computing methodologies+Artificial intelligence",35
5,"Computing methodologies+Computer graphics",35
27,"Computing methodologies+Machine learning",35
8,"Computing methodologies+Modeling and simulation",35
7,"General and reference",35
10,"General and reference+Cross-computing tools and techniques",35
3,"Hardware",35
1,"Hardware+Electronic design automation",35
2,"Hardware+Hardware validation",35
3,"Hardware+Power and energy",35
10,"Information systems",35
8,"Information systems+Data management systems",35
16,"Information systems+Information retrieval",35
12,"Information systems+Information systems applications",35
3,"Information systems+World Wide Web",35
2,"Mathematics of computing",35
1,"Mathematics of computing+Information theory",35
3,"Mathematics of computing+Probability and statistics",35
8,"Networks",35
1,"Networks+Network algorithms",35
1,"Networks+Network architectures",35
4,"Networks+Network performance evaluation",35
2,"Networks+Network properties",35
5,"Networks+Network protocols",35
10,"Security and privacy",35
10,"Security and privacy+Cryptography",35
2,"Security and privacy+Formal methods and theory of security",35
2,"Security and privacy+Human and societal aspects of security and privacy",35
5,"Security and privacy+Network security",35
2,"Security and privacy+Security in hardware",35
11,"Security and privacy+Security services",35
5,"Security and privacy+Systems security",35
1,"Social and professional topics",35
3,"Social and professional topics+Professional topics",35
7,"Software and its engineering",35
2,"Software and its engineering+Software creation and management",35
4,"Software and its engineering+Software notations and tools",35
18,"Software and its engineering+Software organization and properties",35
2,"Theory of computation",35
2,"Theory of computation+Design and analysis of algorithms",35
2,"Theory of computation+Models of computation",35
3,"Computing methodologies",36
6,"Computing methodologies+Artificial intelligence",36
4,"Computing methodologies+Machine learning",36
1,"Human-centered computing",36
1,"Human-centered computing+Human computer interaction (HCI)",36
1,"Information systems",36
2,"Information systems+Information systems applications",36
3,"Information systems+World Wide Web",36
2,"Networks",36
6,"Networks+Network algorithms",36
1,"Security and privacy",36
3,"Security and privacy+Security services",36
1,"Theory of computation",36
2,"Theory of computation+Design and analysis of algorithms",36
13,"Applied computing",37
2,"Applied computing+Arts and humanities",37
2,"Applied computing+Document management and text processing",37
8,"Applied computing+Education",37
4,"Applied computing+Law, social and behavioral sciences",37
6,"Applied computing+Life and medical sciences",37
6,"Applied computing+Physical sciences and engineering",37
9,"Computer systems organization",37
7,"Computer systems organization+Dependable and fault-tolerant systems and networks",37
15,"Computer systems organization+Embedded and cyber-physical systems",37
1,"Computer systems organization+Real-time systems",37
25,"Computing methodologies",37
47,"Computing methodologies+Artificial intelligence",37
26,"Computing methodologies+Computer graphics",37
28,"Computing methodologies+Machine learning",37
6,"Computing methodologies+Modeling and simulation",37
6,"General and reference",37
12,"General and reference+Cross-computing tools and techniques",37
9,"Hardware",37
4,"Hardware+Communication hardware, interfaces and storage",37
9,"Hardware+Integrated circuits",37
12,"Hardware+Power and energy",37
11,"Human-centered computing",37
11,"Human-centered computing+Collaborative and social computing",37
20,"Human-centered computing+Human computer interaction (HCI)",37
8,"Human-centered computing+Interaction design",37
40,"Information systems",37
2,"Information systems+Data management systems",37
71,"Information systems+Information retrieval",37
45,"Information systems+Information systems applications",37
21,"Information systems+World Wide Web",37
1,"Mathematics of computing",37
3,"Mathematics of computing+Mathematical analysis",37
17,"Networks",37
1,"Networks+Network algorithms",37
2,"Networks+Network architectures",37
7,"Networks+Network performance evaluation",37
6,"Networks+Network properties",37
20,"Networks+Network types",37
6,"Security and privacy",37
1,"Security and privacy+Network security",37
9,"Security and privacy+Security services",37
4,"Social and professional topics",37
9,"Social and professional topics+Professional topics",37
4,"Social and professional topics+User characteristics",37
2,"Theory of computation",37
2,"Theory of computation+Randomness, geometry and discrete structures",37
1,"Theory of computation+Theory and algorithms for application domains",37
3,"Computing methodologies",41
7,"Computing methodologies+Artificial intelligence",41
3,"Computing methodologies+Modeling and simulation",41
1,"Hardware",41
2,"Hardware+Communication hardware, interfaces and storage",41
3,"Information systems",41
7,"Information systems+Data management systems",41
1,"Networks",41
1,"Networks+Network performance evaluation",41
4,"Security and privacy",41
1,"Security and privacy+Network security",41
2,"Security and privacy+Security in hardware",41
2,"Security and privacy+Security services",41
2,"Security and privacy+Systems security",41
1,"Social and professional topics",41
3,"Social and professional topics+Professional topics",41
1,"Software and its engineering",41
3,"Software and its engineering+Software creation and management",41
2,"Theory of computation",41
4,"Theory of computation+Design and analysis of algorithms",41
20,"Applied computing",42
2,"Applied computing+Arts and humanities",42
2,"Applied computing+Computer forensics",42
1,"Applied computing+Document management and text processing",42
13,"Applied computing+Education",42
5,"Applied computing+Enterprise computing",42
2,"Applied computing+Law, social and behavioral sciences",42
10,"Applied computing+Life and medical sciences",42
3,"Applied computing+Operations research",42
4,"Applied computing+Physical sciences and engineering",42
20,"Computer systems organization",42
9,"Computer systems organization+Architectures",42
16,"Computer systems organization+Dependable and fault-tolerant systems and networks",42
21,"Computer systems organization+Embedded and cyber-physical systems",42
2,"Computer systems organization+Real-time systems",42
63,"Computing methodologies",42
71,"Computing methodologies+Artificial intelligence",42
